Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Region,Audience_Type,Age_Group,Gender,Impressions,Clicks,Conversions,Spend,Revenue
MKT001,Flash Sale,Instagram,2024-09-01,2024-09-19,South,New,18-25,Male,125410,5920,1730,46932,98741
MKT002,New Year Promo,Facebook,2024-07-09,2024-07-26,South,Returning,36-50,Female,95225,14750,2282,38798,28830
MKT003,Monsoon Offers,Email,2024-06-11,2024-07-02,West,Returning,36-50,Male,64814,11345,679,36898,65044
MKT004,Festive Blast,Twitter,2024-03-02,2024-03-27,East,Returning,26-35,Male,105091,7324,1270,20881,83948
MKT005,Flash Sale,YouTube,2024-03-08,2024-03-30,North,New,36-50,Female,70719,7327,589,15785,79202
MKT006,Clearance Campaign,Instagram,2024-08-20,2024-09-02,West,Returning,36-50,Male,149887,9417,2625,11691,47045
MKT007,Diwali Offers,Instagram,2024-09-01,2024-09-23,West,New,26-35,Other,53919,1776,1282,22297,96322
MKT008,Flash Sale,Google Ads,2024-08-26,2024-09-16,East,Returning,50+,Other,93155,12029,483,11358,81051
MKT009,Monsoon Offers,Google Ads,2024-07-22,2024-08-17,East,New,50+,Female,91569,6208,262,24581,36627
MKT010,Festive Blast,Email,2024-06-11,2024-06-18,West,Returning,36-50,Female,61328,1687,2588,6462,25198
MKT011,New Year Promo,Twitter,2024-10-22,2024-11-01,North,Returning,50+,Male,44618,1529,1976,20511,79521
MKT012,Monsoon Offers,Email,2024-07-11,2024-08-09,West,Returning,50+,Male,54675,12634,1312,15570,39475
MKT013,Monsoon Offers,Facebook,2024-02-20,2024-03-03,East,Returning,36-50,Male,38919,6067,2562,49414,29403
MKT014,Diwali Offers,Facebook,2024-03-30,2024-04-24,North,New,50+,Male,24173,14223,1462,20474,13681
MKT015,Mega Discount,Email,2024-10-25,2024-11-21,East,Returning,36-50,Other,129369,9080,1730,12037,52292
MKT016,Festive Blast,Twitter,2024-08-13,2024-09-12,North,Returning,18-25,Other,46400,6518,1304,33129,15629
MKT017,Winter Deals,Email,2024-01-29,2024-02-13,South,New,26-35,Female,90305,3153,387,47267,87814
MKT018,Monsoon Offers,Twitter,2024-05-23,2024-06-14,East,Returning,26-35,Male,188636,10486,1957,18386,18417
MKT019,Mega Discount,Twitter,2024-08-18,2024-09-05,East,New,50+,Male,196886,7094,286,11221,44765
MKT020,Winter Deals,YouTube,2024-03-09,2024-04-07,West,Returning,50+,Female,108791,7974,2007,28474,84499
MKT021,Festive Blast,Twitter,2024-07-06,2024-08-03,East,Returning,50+,Male,179034,10718,1261,45537,66574
MKT022,Summer Sale,Google Ads,2024-03-03,2024-03-18,East,Returning,26-35,Male,90533,5774,229,26045,37675
MKT023,Clearance Campaign,Twitter,2024-01-26,2024-02-02,South,New,18-25,Male,123591,8692,2341,30783,82267
MKT024,Mega Discount,Twitter,2024-08-31,2024-09-17,East,Returning,18-25,Male,161650,12088,2463,45157,50563
MKT025,Weekend Bonanza,Twitter,2024-04-28,2024-05-06,South,Returning,26-35,Male,151060,4103,1987,9922,21332
MKT026,Summer Sale,Facebook,2024-01-06,2024-02-03,South,Returning,18-25,Female,169696,3440,243,27706,29177
MKT027,Clearance Campaign,Google Ads,2024-02-11,2024-03-04,South,New,26-35,Male,59194,5135,115,47771,99254
MKT028,Diwali Offers,Google Ads,2024-01-23,2024-02-19,South,New,18-25,Female,129903,12994,2570,37479,78447
MKT029,Flash Sale,Email,2024-02-09,2024-02-28,North,Returning,36-50,Male,151461,8124,344,10178,67104
MKT030,New Year Promo,YouTube,2024-06-25,2024-07-08,West,New,36-50,Other,119303,6201,1026,35022,94335
MKT031,Weekend Bonanza,Twitter,2024-06-27,2024-07-19,North,Returning,26-35,Other,133903,1844,2276,20240,90730
MKT032,Diwali Offers,Instagram,2024-09-02,2024-09-11,East,Returning,18-25,Other,87391,1446,1006,31220,14951
MKT033,Festive Blast,YouTube,2024-02-20,2024-02-27,North,Returning,50+,Other,164866,4915,986,41736,38333
MKT034,Diwali Offers,YouTube,2024-04-14,2024-04-23,North,Returning,18-25,Female,78002,4109,440,7716,31673
MKT035,Flash Sale,Google Ads,2024-01-01,2024-01-15,East,Returning,36-50,Female,55531,2234,2151,21574,50870
MKT036,Festive Blast,YouTube,2024-03-24,2024-04-03,East,Returning,36-50,Male,24986,7587,1533,22719,81101
MKT037,Weekend Bonanza,Twitter,2024-05-15,2024-06-05,East,Returning,18-25,Other,52298,14638,405,13181,32821
MKT038,Flash Sale,Twitter,2024-04-30,2024-05-25,North,New,18-25,Female,21481,1226,1007,49066,35494
MKT039,Winter Deals,Facebook,2024-06-12,2024-06-25,North,New,50+,Male,76408,5143,2754,25213,84160
MKT040,New Year Promo,Twitter,2024-10-21,2024-11-04,East,New,50+,Male,141950,8185,1471,11380,10835
MKT041,Weekend Bonanza,Twitter,2024-10-22,2024-11-02,West,New,18-25,Female,167907,12151,420,5615,28646
MKT042,Winter Deals,Google Ads,2024-07-09,2024-08-02,West,New,18-25,Other,145355,6558,658,5463,87360
MKT043,Clearance Campaign,Twitter,2024-02-14,2024-03-11,South,New,18-25,Male,47798,11022,1304,36973,47335
MKT044,Weekend Bonanza,Facebook,2024-10-10,2024-11-07,East,New,18-25,Other,111649,12971,2765,14158,79351
MKT045,Clearance Campaign,Instagram,2024-05-13,2024-05-20,South,Returning,26-35,Other,84887,1186,2858,25651,12429
MKT046,Festive Blast,Google Ads,2024-04-13,2024-05-04,West,Returning,18-25,Other,39477,12069,1509,8158,51950
MKT047,Winter Deals,Instagram,2024-06-19,2024-07-09,South,Returning,50+,Male,168338,3535,1741,25008,70654
MKT048,New Year Promo,Google Ads,2024-04-26,2024-05-17,East,Returning,36-50,Other,147815,2932,1231,9938,78143
MKT049,Flash Sale,Email,2024-02-19,2024-03-14,East,New,26-35,Male,194598,12116,2678,43185,87527
MKT050,Monsoon Offers,YouTube,2024-05-10,2024-05-27,East,New,18-25,Other,147426,10040,2557,27388,96704
MKT051,Diwali Offers,Email,2024-10-07,2024-10-20,North,Returning,36-50,Male,162961,3032,917,13881,41099
MKT052,Summer Sale,Twitter,2024-08-26,2024-09-16,South,Returning,26-35,Other,44335,2252,1294,10603,49385
MKT053,New Year Promo,Instagram,2024-07-15,2024-07-27,West,New,36-50,Female,162326,6509,2640,39980,45919
MKT054,Winter Deals,Twitter,2024-02-13,2024-03-06,West,Returning,18-25,Other,106610,6074,111,27504,70782
MKT055,Monsoon Offers,YouTube,2024-04-05,2024-05-03,West,Returning,18-25,Other,31442,14900,294,21766,81116
MKT056,New Year Promo,Google Ads,2024-03-04,2024-03-14,North,Returning,50+,Male,66289,14304,2637,33386,82590
MKT057,Winter Deals,YouTube,2024-03-27,2024-04-23,North,Returning,18-25,Male,73747,2881,2942,16695,99626
MKT058,Mega Discount,Facebook,2024-10-07,2024-10-27,East,New,18-25,Other,57327,1269,2329,22796,50387
MKT059,Mega Discount,YouTube,2024-05-12,2024-06-01,West,Returning,26-35,Female,167271,2630,755,47543,25823
MKT060,Clearance Campaign,Facebook,2024-10-06,2024-10-14,North,Returning,50+,Female,92827,5405,2021,19559,56015
MKT061,New Year Promo,YouTube,2024-08-06,2024-08-24,East,New,26-35,Male,126464,12395,2841,43914,25339
MKT062,Mega Discount,Facebook,2024-01-16,2024-02-14,West,New,36-50,Female,151184,7139,2177,38139,13491
MKT063,Winter Deals,Instagram,2024-02-14,2024-02-27,South,Returning,18-25,Other,107051,2574,1719,43333,10706
MKT064,Clearance Campaign,Twitter,2024-08-04,2024-08-18,East,New,36-50,Male,170653,14383,1219,13802,25728
MKT065,Winter Deals,Twitter,2024-10-01,2024-10-20,North,Returning,26-35,Other,79722,12084,877,13307,16997
MKT066,Clearance Campaign,Email,2024-02-23,2024-03-03,North,Returning,18-25,Male,112036,2695,543,45205,70408
MKT067,New Year Promo,Twitter,2024-03-12,2024-04-07,East,New,18-25,Male,167595,4258,397,38214,68097
MKT068,Monsoon Offers,Google Ads,2024-07-26,2024-08-20,East,Returning,26-35,Male,86960,4262,907,39159,48523
MKT069,Flash Sale,YouTube,2024-01-06,2024-01-15,North,Returning,26-35,Male,39552,2445,1860,16516,35163
MKT070,Weekend Bonanza,Email,2024-05-21,2024-06-11,South,Returning,26-35,Female,161880,7263,944,34086,27718
MKT071,Monsoon Offers,Google Ads,2024-04-19,2024-05-05,West,Returning,26-35,Other,174692,9411,1115,35480,97508
MKT072,Festive Blast,Google Ads,2024-07-01,2024-07-30,South,New,26-35,Other,20887,1052,1484,49659,93767
MKT073,Winter Deals,Facebook,2024-04-27,2024-05-17,East,New,18-25,Other,51802,10949,1497,43737,49619
MKT074,Festive Blast,Twitter,2024-06-23,2024-07-13,South,Returning,26-35,Male,105024,6570,653,14265,22126
MKT075,Monsoon Offers,Instagram,2024-08-06,2024-08-15,North,New,18-25,Female,138639,8579,2450,10454,99131
MKT076,Clearance Campaign,Instagram,2024-03-08,2024-03-15,East,Returning,18-25,Other,138248,2666,520,40918,74926
MKT077,Weekend Bonanza,Email,2024-09-07,2024-09-25,West,Returning,26-35,Female,101938,14548,1369,31181,50633
MKT078,Weekend Bonanza,Instagram,2024-08-04,2024-08-31,North,Returning,26-35,Male,142746,7901,1360,20386,87654
MKT079,Summer Sale,YouTube,2024-10-25,2024-11-09,North,Returning,50+,Other,46049,3785,284,44182,13317
MKT080,Weekend Bonanza,Instagram,2024-04-28,2024-05-05,West,Returning,18-25,Female,97789,1719,567,42425,54980
MKT081,Flash Sale,Email,2024-06-08,2024-06-29,West,New,26-35,Male,104526,9597,2901,48254,54115
MKT082,Weekend Bonanza,Instagram,2024-09-26,2024-10-06,South,Returning,26-35,Female,158918,7855,2510,29327,71646
MKT083,Monsoon Offers,YouTube,2024-08-18,2024-09-08,East,New,26-35,Other,66220,3294,1406,26181,53158
MKT084,Summer Sale,Facebook,2024-03-20,2024-04-13,West,New,50+,Other,66163,9263,1676,26452,65963
MKT085,Monsoon Offers,Email,2024-04-27,2024-05-25,West,Returning,50+,Male,154837,11245,435,43248,57631
MKT086,Monsoon Offers,Facebook,2024-06-18,2024-07-12,East,Returning,36-50,Male,137126,10421,2309,45801,59316
MKT087,Diwali Offers,Facebook,2024-06-19,2024-07-02,West,Returning,18-25,Male,101486,10759,1597,38751,69342
MKT088,Summer Sale,Facebook,2024-02-19,2024-03-07,West,Returning,36-50,Female,196342,12874,2159,26991,25504
MKT089,Monsoon Offers,Google Ads,2024-04-27,2024-05-08,South,Returning,26-35,Female,95277,12145,1547,46311,78593
MKT090,Diwali Offers,Twitter,2024-08-23,2024-08-30,North,New,50+,Female,124245,5482,687,14916,36660
MKT091,Diwali Offers,Google Ads,2024-04-10,2024-04-17,North,Returning,50+,Male,142332,1698,1981,15143,47196
MKT092,Summer Sale,Twitter,2024-05-10,2024-05-18,North,Returning,36-50,Other,42931,8243,300,30855,75938
MKT093,Festive Blast,Facebook,2024-10-04,2024-10-21,North,New,50+,Other,109116,14488,621,20581,18605
MKT094,Clearance Campaign,Email,2024-06-21,2024-07-08,West,New,26-35,Female,75633,10018,1987,6907,67388
MKT095,Flash Sale,Twitter,2024-04-07,2024-04-28,East,Returning,50+,Female,71913,6918,2652,34424,91297
MKT096,Clearance Campaign,YouTube,2024-04-06,2024-04-23,East,New,36-50,Other,114776,1348,1811,28308,65501
MKT097,Weekend Bonanza,YouTube,2024-01-26,2024-02-24,South,Returning,26-35,Other,45991,6374,887,46984,63309
MKT098,Flash Sale,Instagram,2024-08-07,2024-09-05,South,New,36-50,Female,124092,13100,159,46505,37043
MKT099,Weekend Bonanza,Twitter,2024-06-03,2024-06-27,West,New,50+,Female,161633,8869,677,41942,43635
MKT100,Monsoon Offers,Email,2024-07-31,2024-08-13,East,Returning,36-50,Other,167973,1307,420,31957,89315
MKT101,Winter Deals,Google Ads,2024-09-13,2024-10-05,East,New,36-50,Male,115556,4416,1558,30464,90691
MKT102,Summer Sale,Facebook,2024-04-17,2024-04-29,North,New,18-25,Female,82875,14438,2137,28649,43132
MKT103,Flash Sale,Instagram,2024-08-14,2024-09-10,West,New,50+,Other,176989,11526,1022,47065,99387
MKT104,Flash Sale,YouTube,2024-04-15,2024-04-27,West,New,50+,Other,82120,14053,1509,32125,25366
MKT105,Monsoon Offers,Google Ads,2024-05-25,2024-06-22,North,New,36-50,Other,153060,5820,1794,39758,82107
MKT106,Festive Blast,Google Ads,2024-06-13,2024-07-02,West,New,18-25,Other,130041,12001,668,10596,72580
MKT107,Diwali Offers,Facebook,2024-08-28,2024-09-12,West,Returning,50+,Male,148467,14907,1201,21374,67889
MKT108,Monsoon Offers,Twitter,2024-08-28,2024-09-08,South,Returning,26-35,Other,165328,4558,626,8775,89553
MKT109,Mega Discount,YouTube,2024-03-17,2024-04-07,East,New,36-50,Female,138490,5478,2671,32388,49236
MKT110,Diwali Offers,Email,2024-01-01,2024-01-26,West,Returning,50+,Male,146155,12669,2760,26029,14150
MKT111,Summer Sale,Google Ads,2024-03-16,2024-04-11,South,Returning,26-35,Other,48230,7531,2272,23445,29423
MKT112,Diwali Offers,Facebook,2024-09-25,2024-10-25,East,Returning,50+,Male,79778,5620,970,19645,14137
MKT113,Festive Blast,Email,2024-09-14,2024-10-03,North,New,26-35,Female,65833,11878,379,36105,39992
MKT114,Diwali Offers,Twitter,2024-07-15,2024-07-30,South,Returning,36-50,Other,42625,3985,2769,18668,54921
MKT115,Summer Sale,YouTube,2024-09-17,2024-10-01,South,New,50+,Female,52088,9112,2993,20960,89369
MKT116,Festive Blast,Twitter,2024-07-12,2024-07-26,East,Returning,50+,Other,192239,9467,1992,16357,76917
MKT117,Clearance Campaign,Google Ads,2024-02-19,2024-03-17,North,New,18-25,Other,123937,3547,1851,42203,83690
MKT118,Flash Sale,Email,2024-07-20,2024-08-13,South,New,36-50,Other,96361,11956,773,20804,44235
MKT119,Flash Sale,Email,2024-09-27,2024-10-26,West,Returning,26-35,Other,108229,1336,1251,19626,88975
MKT120,Weekend Bonanza,Email,2024-09-08,2024-09-28,West,Returning,50+,Other,155189,11165,2461,33132,29122
MKT121,Clearance Campaign,Google Ads,2024-07-16,2024-08-11,West,New,50+,Male,110265,3979,431,12951,33956
MKT122,Clearance Campaign,Google Ads,2024-03-27,2024-04-18,North,Returning,26-35,Other,117718,13768,1273,11449,73879
MKT123,Diwali Offers,Twitter,2024-07-25,2024-08-16,South,Returning,36-50,Other,80710,4968,2139,24065,68560
MKT124,Flash Sale,Instagram,2024-10-12,2024-10-31,West,Returning,18-25,Male,114876,1910,1577,40967,92800
MKT125,Summer Sale,Twitter,2024-05-31,2024-06-12,North,New,18-25,Male,50949,2996,135,44536,78685
MKT126,New Year Promo,YouTube,2024-08-13,2024-08-21,West,New,50+,Male,173619,4129,1808,14130,34660
MKT127,New Year Promo,Facebook,2024-08-18,2024-08-28,East,Returning,26-35,Male,88136,6447,1543,28824,96064
MKT128,Festive Blast,Email,2024-05-13,2024-06-10,South,Returning,50+,Male,131541,7129,2353,46401,11168
MKT129,Flash Sale,Instagram,2024-01-22,2024-02-03,South,Returning,26-35,Male,81842,6850,2786,41993,55124
MKT130,Flash Sale,Facebook,2024-01-01,2024-01-17,North,New,18-25,Other,46990,5204,2995,36875,45897
MKT131,New Year Promo,Instagram,2024-05-06,2024-05-23,North,New,36-50,Other,167265,8446,1479,11054,25032
MKT132,Flash Sale,Twitter,2024-02-14,2024-03-02,South,Returning,26-35,Female,50109,12949,539,39273,62797
MKT133,Diwali Offers,Google Ads,2024-08-08,2024-08-29,West,Returning,18-25,Other,150356,9519,2876,46821,45294
MKT134,Mega Discount,Email,2024-01-19,2024-02-10,West,Returning,50+,Other,170305,10991,1219,15832,53827
MKT135,Winter Deals,Twitter,2024-05-30,2024-06-21,East,Returning,26-35,Male,148133,1314,263,34670,13516
MKT136,Clearance Campaign,Facebook,2024-03-28,2024-04-18,West,Returning,36-50,Male,185582,12737,247,27852,29751
MKT137,Weekend Bonanza,Facebook,2024-04-23,2024-05-22,North,Returning,50+,Other,21306,2134,2441,28620,40373
MKT138,Festive Blast,Facebook,2024-04-26,2024-05-09,North,New,50+,Female,23849,11938,294,33307,40270
MKT139,Mega Discount,Facebook,2024-01-10,2024-01-21,West,Returning,18-25,Male,32360,5876,762,6551,20386
MKT140,New Year Promo,Facebook,2024-07-01,2024-07-20,North,New,26-35,Other,131072,9102,579,32812,74817
MKT141,Clearance Campaign,Instagram,2024-03-12,2024-04-04,South,Returning,50+,Other,114767,10712,222,18799,75184
MKT142,Flash Sale,Twitter,2024-02-13,2024-02-29,South,Returning,36-50,Female,196872,9347,1523,31312,89693
MKT143,Weekend Bonanza,Email,2024-07-03,2024-07-20,West,New,26-35,Female,188035,6592,2846,44620,47879
MKT144,Flash Sale,Google Ads,2024-08-02,2024-08-24,South,New,36-50,Male,74330,2724,1064,6449,59597
MKT145,Summer Sale,Google Ads,2024-03-01,2024-03-25,South,New,50+,Female,71707,4343,2808,29426,49132
MKT146,Summer Sale,Twitter,2024-01-02,2024-01-15,East,New,36-50,Other,38689,1886,1878,40427,13626
MKT147,Weekend Bonanza,Twitter,2024-07-21,2024-08-03,East,Returning,18-25,Other,49084,12265,1585,45277,95936
MKT148,Weekend Bonanza,Google Ads,2024-04-22,2024-04-30,South,New,36-50,Female,60387,11997,2114,36551,91515
MKT149,New Year Promo,Google Ads,2024-02-13,2024-02-25,West,Returning,26-35,Female,94816,1721,809,29277,87065
MKT150,Weekend Bonanza,Instagram,2024-08-10,2024-08-29,East,New,36-50,Female,22642,8678,2543,40489,65390
MKT151,Diwali Offers,YouTube,2024-06-05,2024-06-17,North,Returning,36-50,Female,62137,10104,1011,14637,26645
MKT152,Flash Sale,Email,2024-05-10,2024-05-25,North,Returning,18-25,Male,82260,4357,1460,48258,64144
MKT153,Mega Discount,Facebook,2024-07-21,2024-08-13,North,Returning,36-50,Female,166510,1870,2464,40693,23382
MKT154,Monsoon Offers,YouTube,2024-10-19,2024-11-05,West,Returning,36-50,Male,68442,13300,1834,14824,14025
MKT155,Weekend Bonanza,Twitter,2024-06-28,2024-07-05,South,Returning,50+,Other,123061,7751,1923,31950,53226
MKT156,Festive Blast,Google Ads,2024-02-03,2024-02-10,North,Returning,50+,Female,154066,1497,1679,28488,89380
MKT157,Summer Sale,YouTube,2024-04-29,2024-05-22,West,New,26-35,Male,145844,2756,780,44008,79711
MKT158,Diwali Offers,Email,2024-09-16,2024-10-04,East,Returning,50+,Female,119575,2117,1433,5215,84710
MKT159,Clearance Campaign,Twitter,2024-10-26,2024-11-18,South,New,50+,Other,21813,12601,2642,45067,13443
MKT160,Monsoon Offers,Facebook,2024-04-24,2024-05-10,East,New,50+,Other,113027,3828,655,16523,31395
MKT161,Mega Discount,Facebook,2024-07-24,2024-08-01,West,Returning,50+,Other,143489,14482,709,15364,20725
MKT162,Monsoon Offers,Email,2024-05-29,2024-06-08,North,New,18-25,Female,104381,2647,2256,8153,43461
MKT163,Weekend Bonanza,Email,2024-02-16,2024-03-16,North,Returning,50+,Female,75276,14878,471,28834,51115
MKT164,New Year Promo,Google Ads,2024-03-31,2024-04-26,West,New,18-25,Male,61243,7992,715,39474,93732
MKT165,Summer Sale,Facebook,2024-07-28,2024-08-09,North,Returning,18-25,Other,80272,12175,2915,48066,89790
MKT166,Summer Sale,Twitter,2024-05-31,2024-06-10,South,New,50+,Female,193123,14778,2014,39335,89557
MKT167,Clearance Campaign,YouTube,2024-05-25,2024-06-23,West,Returning,36-50,Other,85618,7771,2353,15400,81260
MKT168,New Year Promo,Twitter,2024-05-21,2024-06-13,East,Returning,18-25,Other,21920,1142,946,15345,38690
MKT169,Flash Sale,Instagram,2024-02-03,2024-03-03,West,Returning,36-50,Male,126121,14512,142,38896,11407
MKT170,Winter Deals,Instagram,2024-10-13,2024-10-23,South,Returning,36-50,Male,96872,3761,964,24894,83568
MKT171,Diwali Offers,Email,2024-04-29,2024-05-24,South,New,50+,Male,101132,4435,1368,33899,68560
MKT172,Summer Sale,Google Ads,2024-07-07,2024-08-06,West,Returning,26-35,Male,22093,7622,1478,45635,57340
MKT173,Festive Blast,Instagram,2024-08-19,2024-09-16,West,New,50+,Other,32905,13852,884,33229,27794
MKT174,Summer Sale,Facebook,2024-10-27,2024-11-23,North,New,26-35,Male,141759,11623,575,10583,29881
MKT175,Monsoon Offers,Twitter,2024-02-23,2024-03-10,South,New,26-35,Male,175423,8069,182,9897,96292
MKT176,Summer Sale,Twitter,2024-02-19,2024-03-04,West,Returning,50+,Male,50981,5512,1233,11001,59703
MKT177,Summer Sale,Email,2024-10-05,2024-10-30,West,New,50+,Male,93903,2848,2337,48881,54354
MKT178,Winter Deals,YouTube,2024-05-20,2024-05-28,South,New,26-35,Other,90821,3696,899,9567,88462
MKT179,Winter Deals,Email,2024-06-06,2024-07-02,West,New,50+,Male,129200,2717,1035,14271,24390
MKT180,Mega Discount,YouTube,2024-08-10,2024-09-03,North,Returning,26-35,Other,102289,14678,2398,16703,97475
MKT181,Flash Sale,Email,2024-06-30,2024-07-09,South,Returning,36-50,Female,136506,4072,2438,18329,37307
MKT182,Festive Blast,Email,2024-01-09,2024-01-21,North,New,50+,Other,98513,10259,1768,40509,34502
MKT183,Summer Sale,Email,2024-09-30,2024-10-28,North,Returning,36-50,Other,170946,3786,425,11256,32486
MKT184,Summer Sale,YouTube,2024-03-05,2024-03-25,North,Returning,18-25,Male,158746,14409,1634,5228,48258
MKT185,Diwali Offers,YouTube,2024-04-02,2024-04-22,North,New,36-50,Female,70516,4791,2085,29746,67716
MKT186,Winter Deals,Email,2024-01-20,2024-02-09,South,New,36-50,Female,89212,10480,2064,21678,91494
MKT187,Festive Blast,Instagram,2024-10-21,2024-11-09,North,Returning,26-35,Female,153498,4871,936,42052,92768
MKT188,Clearance Campaign,Google Ads,2024-03-30,2024-04-23,North,New,36-50,Female,150970,2806,607,28185,20748
MKT189,Mega Discount,Google Ads,2024-06-03,2024-06-10,West,Returning,50+,Other,110009,2504,2878,38686,72785
MKT190,Flash Sale,Google Ads,2024-06-27,2024-07-06,South,Returning,26-35,Female,181015,4308,2219,16445,86050
MKT191,New Year Promo,YouTube,2024-05-30,2024-06-09,South,Returning,18-25,Other,64816,8117,1370,38266,32738
MKT192,Flash Sale,YouTube,2024-05-02,2024-05-15,East,Returning,50+,Other,24138,14304,740,7809,84231
MKT193,Monsoon Offers,Instagram,2024-01-19,2024-01-31,South,Returning,18-25,Other,111176,6048,1978,42729,83606
MKT194,Summer Sale,Google Ads,2024-08-03,2024-08-15,South,Returning,36-50,Female,95945,12143,707,46785,51662
MKT195,Mega Discount,Google Ads,2024-10-26,2024-11-20,East,New,50+,Male,24017,9263,2058,41547,92234
MKT196,Monsoon Offers,Email,2024-09-25,2024-10-17,South,New,50+,Male,30451,2690,665,47818,25123
MKT197,Festive Blast,YouTube,2024-04-12,2024-05-11,South,Returning,18-25,Female,113863,14579,1467,39886,35616
MKT198,New Year Promo,Google Ads,2024-04-25,2024-05-22,South,Returning,50+,Male,30278,10536,2201,11391,21182
MKT199,Winter Deals,Twitter,2024-03-06,2024-04-01,South,Returning,50+,Male,63764,4303,1853,5145,72013
MKT200,Mega Discount,Instagram,2024-02-05,2024-02-19,East,New,50+,Other,143030,4113,2675,18929,41331
MKT201,Mega Discount,Twitter,2024-09-30,2024-10-19,South,Returning,36-50,Other,152206,10074,2758,29326,56098
MKT202,Summer Sale,Twitter,2024-04-26,2024-05-12,South,New,18-25,Female,82943,13426,1681,34991,36128
MKT203,Weekend Bonanza,Instagram,2024-05-04,2024-05-16,East,Returning,50+,Female,115667,11854,2086,42333,41556
MKT204,Mega Discount,Twitter,2024-10-07,2024-10-16,West,Returning,26-35,Male,74318,8850,2340,21576,97505
